Astigmatism 	n
Astir 	predic
Astonish 	v
Astound 	v
Astraddle 	adv
Astrakhan 	n
Astral 	adj
Astray 	adv
Astrolabe 	n
Astrology 	n
Astronaut 	n
Astronaut 	n
Astronautics 	n
Astronomical 	adj
Astronomy 	n
Astrophysics 	n
Astute 	adj
Asunder 	adv
Asylum 	n
Asymmetry 	n
At 	symb
At 	prep
Atavism 	n
Ataxia 	n
Atelier 	n
Atheism 	n
Atherosclerosis 	n
Athirst 	predic
Athlete 	n
Athletic 	adj
Athletics 	n
At-home 	n
Atlantic 	adj
Atlas 	n
Atmosphere 	n
Atmospherics 	n
Atoll 	n
Atom 	n
Atom 	n
Atom bomb 	n
Atomic 	adj
Atomic bomb 	n
Atomic energy 	n
Atomic mass 	n
Atomic mass unit 	n
Atomic number 	n
Atomic theory 	n
Atomic weight 	n
Atomize 	v
Atomizer 	n
Atonal 	adj
Atone 	v
Atonement 	n
Atrium 	n
Atrocious 	adj
Atrocity 	n
Atropine 	n
Attach 	v
Attachment 	n
Attain 	v
Attainment 	n
Attar 	n
Attend 	v
Attendance 	n
Attendee 	n
Attendee 	n
Attention 	n
Attentive 	adj
Attenuate 	v
Attest 	v
Attic 	n
Attitude 	n
Attitudinize 	v
Attorney 	n
Attorney-general 	n
Attract 	v
Attraction 	n
Attractive 	adj
Attributive 	adj
Attrition 	n
Attune 	v
Atypical 	adj
Au 	symb
Aubergine 	n
Aubrietia 	n
Auburn 	adj
Auction bridge 	n
Auctioneer 	n
Audacious 	adj
Audible 	adj
Audience 	n
Audio 	n
Audio- 	comb
Audio frequency 	n
Audiotape 	n
Audiotape 	n
Audio typist 	n
Audiovisual 	adj
Auditor 	n
Auditorium 	n
Auditory 	adj
Au fait 	predic
Augean 	adj
Auger 	n
Aught 	n
Augment 	v
Augmentative 	adj
Au gratin 	adj
Augury 	n
August 	n
August 	adj
Augustan 	adj
Auk 	n
Auld lang syne 	n
Aunt 	n
Auntie 	n
Aunt sally 	n
Au pair 	n
Aura 	n
Aural 	adj
Aureate 	adj
Aureole 	n
Au revoir 	int
Auricle 	n
Auricula 	n
Auriferous 	adj
Aurochs 	n
Aurora 	n
Auscultation 	n
Auspice 	n
Auspicious 	adj
Austere 	adj
Austerity 	n
Austral 	adj
Austral 	adj
Australasian 	adj
Autarchy 	n
Autarky 	n
Authentic 	adj
Authenticate 	v
Author 	n
Authoritative 	adj
Authority 	n
Authorize 	v
Authorized version 	n
Authorship 	n
Autism 	n
Auto 	n
Auto- 	comb
Autobahn 	n
Autobiography 	n
Autoclave 	n
Autocracy 	n
Autocrat 	n
Autocross 	n
Autocue 	n
Autoimmune 	adj
Automat 	n
Automate 	v
Automatic pilot 	n
Automation 	n
Automatism 	n
Automaton 	n
Automobile 	n
Automotive 	adj
Automotive 	adj
Autonomous 	adj
Autonomy 	n
Autopilot 	n
Autopsy 	n
Autoroute 	n
Autostrada 	n
Auto-suggestion 	n
Autumn 	n
Autumn equinox 	n
Auxin 	n
Av 	abbr
Available 	adj
Avalanche 	n
Avarice 	n
Avatar 	n
Ave 	n
Avenge 	v
Avenue 	n
